bairro,latitude_origin,longitude_origin
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.9117154,-39.1467523
Pontal,-14.8091274,-39.02595240000001
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
São Sebastião,-14.8018168,-39.0321575
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8432332,-39.0270264
São Francisco,-14.8403975,-39.0257076
Jardim Savóia,-14.7736743,-39.0592587
Conquista,-14.7932037,-39.040627
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Pontal,-14.8076907,-39.0373696
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8348482,-39.032076
Nossa Senhora da Vitória,-14.8451891,-39.0270264
São Francisco,-14.8403975,-39.0257076
Centro,-14.796432,-39.0380211
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.83761,-39.03443
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8313622,-39.0284323
Olivença,-14.9943,-38.99916
Nossa Senhora da Vitória,-14.8432332,-39.0270264
São Francisco,-14.8348482,-39.032076
Boa Vista,-14.788433,-39.0342002
São Francisco,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8364846,-39.02892
São Francisco,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8240691,-39.0288182
Nossa Senhora da Vitória,-14.8484664,-39.0271893
Pontal,-14.8103062,-39.0374511
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8330061,-39.0264975
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.8117429,-39.0321575
Cidade Nova,-14.789719,-39.0332423
Jardim Atlântico,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8348482,-39.032076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8448122,-39.0383274
Nossa Senhora da Vitória,-14.8438677,-39.0268635
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8255024,-39.02722809999999
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8308421,-39.0263163
Pontal,-14.8117429,-39.0321575
Nossa Senhora da Vitória,-14.8397473,-39.0361481
Cidade Nova,-14.788433,-39.0342002
Cidade Nova,-14.7849672,-39.033912
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Ilhéus II,-14.8357713,-39.0387699
Ilhéus II,-14.8357713,-39.0387699
Cidade Nova,-14.789719,-39.0332423
São Francisco,-14.8364846,-39.02892
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Cidade Nova,-14.788433,-39.0342002
Nossa Senhora da Vitória,-14.8451694,-39.0263748
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8484664,-39.0271893
Nossa Senhora da Vitória,-14.8451891,-39.0270264
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8461131,-39.0278175
Pontal,-14.8098178,-39.0251031
Teotônio Vilela,-14.8034301,-39.05778249999999
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.83761,-39.03443
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Jardim Savóia,-14.7736743,-39.0592587
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Nossa Senhora da Vitória,-14.841768,-39.0283295
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Boa Vista,-14.7877297,-39.0358987
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Jardim Atlântico,-14.8322621,-39.0268329
Cidade Nova,-14.789719,-39.0332423
Pontal,-14.805925,-39.03679959999999
Pontal,-14.8117429,-39.0321575
São Francisco,-14.8403975,-39.0257076
Jardim Savóia,-14.7661511,-39.0624829
São Francisco,-14.8348482,-39.032076
São Francisco,-14.8403975,-39.0257076
Centro,-14.796432,-39.0380211
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8432332,-39.0270264
Teresópolis,-14.7941544,-39.0381364
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Jardim Savóia,-14.7736743,-39.0592587
Cidade Nova,-14.789719,-39.0332423
Nossa Senhora da Vitória,-14.8364846,-39.02892
Nossa Senhora da Vitória,-14.8364846,-39.02892
Jardim Atlântico,-14.8403975,-39.0257076
São Francisco,-14.8364846,-39.02892
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Conquista,-14.796798,-39.0376954
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Domingos,-14.7607621,-39.060127
São Francisco,-14.8266225,-39.0277956
São Francisco,-14.83761,-39.03443
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8341963,-39.0283807
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8207138,-39.0279223
São Francisco,-14.8341614,-39.0289279
Esperança,-14.7944269,-39.0596406
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Hernani Sá,-14.8290666,-39.0324018
São Francisco,-14.8403975,-39.0257076
Ilhéus II,-14.8357713,-39.0387699
São Francisco,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Pontal,-14.8117429,-39.0321575
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Pontal,-14.8117429,-39.0321575
São Francisco,-14.8403975,-39.0257076
São Domingos,-14.7607621,-39.060127
São Domingos,-14.7607621,-39.060127
Nossa Senhora da Vitória,-14.8451694,-39.0263748
São Francisco,-14.8205436,-39.0272707
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8432332,-39.0270264
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8348482,-39.032076
Nossa Senhora da Vitória,-14.8444041,-39.0271893
São Francisco,-14.8240691,-39.0288182
São Francisco,-14.8240691,-39.0288182
Cidade Nova,-14.7849388,-39.0354429
Pontal,-14.8117429,-39.0321575
Cidade Nova,-14.789719,-39.0332423
Cidade Nova,-14.789719,-39.0332423
Teresópolis,-14.79261,-39.0332
Ilhéus II,-14.8357713,-39.0387699
São Francisco,-14.8364846,-39.02892
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Jardim Savóia,-14.7736743,-39.0592587
São Francisco,-14.8255024,-39.02722809999999
Pontal,-14.805925,-39.03679959999999
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8432332,-39.0270264
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
São Francisco,-14.83761,-39.03443
Jardim Atlântico,-14.8403975,-39.0257076
Jardim Atlântico,-14.830778,-39.02676599999999
Jardim Atlântico,-14.830778,-39.02676599999999
Nossa Senhora da Vitória,-14.8364846,-39.02892
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8432332,-39.0270264
Pontal,-14.805925,-39.03679959999999
Pontal,-14.8091274,-39.02595240000001
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8461131,-39.0278175
Nossa Senhora da Vitória,-14.8432332,-39.0270264
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Pontal,-14.8125454,-39.0250178
Pontal,-14.8125454,-39.0250178
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Olivença,-14.9522225,-39.0086976
Cidade Nova,-14.789719,-39.0332423
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8438677,-39.0268635
Nossa Senhora da Vitória,-14.8444041,-39.0271893
São Francisco,-14.8403975,-39.0257076
Pontal,-14.8117429,-39.0321575
Nossa Senhora da Vitória,-14.8444041,-39.0271893
São Francisco,-14.8348482,-39.032076
São Francisco,-14.8348482,-39.032076
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Jardim Atlântico,-14.8403975,-39.0257076
Pontal,-14.8117429,-39.0321575
Jardim Atlântico,-14.8403975,-39.0257076
Pontal,-14.8117429,-39.0321575
São Sebastião,-14.8018168,-39.0321575
Olivença,-14.9522225,-39.0086976
Jardim Atlântico,-14.8322621,-39.0268329
Cidade Nova,-14.788433,-39.0342002
Boa Vista,-14.7896114,-39.0348706
Boa Vista,-14.7896114,-39.0348706
São Francisco,-14.8180666,-39.0278983
Centro,-14.7958929,-39.032076
São Francisco,-14.8313622,-39.0284323
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Cidade Nova,-14.7853553,-39.0347636
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8369144,-39.0270264
São Francisco,-14.8180666,-39.0278983
São Francisco,-14.8403975,-39.0257076
Cidade Nova,-14.789719,-39.0332423
São Domingos,-14.7607621,-39.060127
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8364846,-39.02892
Cidade Nova,-14.788433,-39.0342002
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8341614,-39.0289279
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8316042,-39.0258359
Cidade Nova,-14.789719,-39.0332423
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
São Francisco,-14.8403975,-39.0257076
São Sebastião,-14.8018168,-39.0321575
Ilhéus II,-14.83755,-39.03551
Ilhéus II,-14.8357713,-39.0387699
Pontal,-14.8087632,-39.0380211
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.8117429,-39.0321575
Jardim Savóia,-14.7736743,-39.0592587
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8313622,-39.0284323
Nossa Senhora da Vitória,-14.8425475,-39.0338612
Pontal,-14.8117429,-39.0321575
São Francisco,-14.8403975,-39.0257076
Jardim Atlântico,-14.8322621,-39.0268329
Olivença,-14.9522155,-39.0091049
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8341614,-39.0289279
Cidade Nova,-14.7853553,-39.0347636
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8240691,-39.0288182
São Francisco,-14.8255024,-39.02722809999999
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8432332,-39.0270264
Nossa Senhora da Vitória,-14.8461131,-39.0278175
São Francisco,-14.8255024,-39.02722809999999
Nossa Senhora da Vitória,-14.8461131,-39.0278175
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Jardim Atlântico,-14.8403975,-39.0257076
Cidade Nova,-14.789719,-39.0332423
Cidade Nova,-14.7912901,-39.0321575
São Francisco,-14.8240691,-39.0288182
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Atlântico,-14.8330061,-39.0264975
Jardim Atlântico,-14.8330061,-39.0264975
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8461131,-39.0278175
Boa Vista,-14.7877297,-39.0358987
São Francisco,-14.8205436,-39.0272707
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8364846,-39.02892
Nossa Senhora da Vitória,-14.8364846,-39.02892
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Pontal,-14.8091274,-39.02595240000001
São Francisco,-14.8313622,-39.0284323
Pontal,-14.8117429,-39.0321575
Cidade Nova,-14.7912901,-39.0321575
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8168568,-39.0254291
São Francisco,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Nossa Senhora da Vitória,-14.8444041,-39.0271893
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8207138,-39.0279223
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Jardim Savóia,-14.7736743,-39.0592587
Nossa Senhora da Vitória,-14.8461131,-39.0278175
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8417744,-39.026049
Jardim Atlântico,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8341614,-39.0289279
Jardim Savóia,-14.7736743,-39.0592587
São Francisco,-14.8313622,-39.0284323
Jardim Atlântico,-14.8322621,-39.0268329
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Pontal,-14.81056,-39.03426
São Francisco,-14.8329816,-39.0279732
Malhado,-14.81121,-39.02481
Centro,-14.7958929,-39.032076
Pontal,-14.805925,-39.03679959999999
Nossa Senhora da Vitória,-14.8394981,-39.0341481
Boa Vista,-14.8109165,-39.0393116
Centro,-14.7958929,-39.032076
Centro,-14.7969117,-39.033105
Centro,-14.7969117,-39.033105
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Jardim Savóia,-14.7736743,-39.0592587
Jardim Savóia,-14.7736743,-39.0592587
São Francisco,-14.8403975,-39.0257076
Pontal,-14.8141628,-39.0328303
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8341614,-39.0289279
Cidade Nova,-14.7912901,-39.0321575
Jardim Savóia,-14.7736743,-39.0592587
Nossa Senhora da Vitória,-14.8417744,-39.026049
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8444041,-39.0271893
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8452087,-39.027678
Nossa Senhora da Vitória,-14.8444041,-39.0271893
Nossa Senhora da Vitória,-14.8451891,-39.0270264
Olivença,-14.8471646,-39.0258046
São Francisco,-14.8403975,-39.0257076
Olivença,-14.9522225,-39.0086976
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8240691,-39.0288182
Pontal,-14.805925,-39.03679959999999
Pontal,-14.8117429,-39.0321575
Pontal,-14.81174,-39.0246643
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Pontal,-14.81174,-39.0246643
São Francisco,-14.8341614,-39.0289279
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8432332,-39.0270264
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Domingos,-14.7607621,-39.060127
Nossa Senhora da Vitória,-14.8435341,-39.0270264
São Francisco,-14.8403975,-39.0257076
Olivença,-14.89345,-39.024257
São Francisco,-14.8313622,-39.0284323
São Francisco,-14.8329816,-39.0279732
Pontal,-14.805925,-39.03679959999999
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8454834,-39.0255602
Boa Vista,-14.7899964,-39.03792079999999
São Francisco,-14.8403975,-39.0257076
São Francisco,-14.8207138,-39.0279223
São Francisco,-14.8403975,-39.0257076
Olivença,-14.9522225,-39.0086976
Nossa Senhora da Vitória,-14.8416566,-39.0258861
Cidade Nova,-14.789719,-39.0332423
Jardim Atlântico,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8403975,-39.0257076
São Francisco,-14.8403975,-39.0257076
Nossa Senhora da Vitória,-14.8385183,-39.0317857
Olivença,-14.8471646,-39.0258046
